requirement_id,regulatory_body,domain,requirement_text,required_company_attributes,evidence_type,severity
CDSCO-001,CDSCO,licensing,"Manufacturing license must be valid, traceable, and current for regulated operations","license_number;license_issue_date;license_expiry_date","license document;regulatory certificate",High
CDSCO-002,CDSCO,manufacturing,"Each manufactured batch must have a complete Batch Manufacturing Record with batch identity, manufacturing date, and process steps","batch_id;manufacturing_date;process_steps","batch manufacturing record",High
CDSCO-003,CDSCO,quality,"Finished products must have test results or Certificate of Analysis with parameters, results, and approval status","test_parameters;test_results;approval_status","COA;QC report;lab release record",High
CDSCO-004,CDSCO,procurement,"Raw materials must come from approved vendors and meet defined specifications","supplier_name;approval_status;specifications","vendor approval record;material specification;purchase QA record",High
CDSCO-005,CDSCO,equipment,"Critical equipment must have calibration records with last calibration and next due date","equipment_id;last_calibration_date;next_due_date","calibration log;equipment record",High
CDSCO-006,CDSCO,deviation,"Deviations must be investigated and CAPA records must capture issue, root cause, corrective action, and closure status","issue;root_cause;corrective_action;closure_status","deviation report;CAPA record",High
CDSCO-007,CDSCO,distribution,"Batch distribution must be traceable through dispatch and distributor records","batch_id;distributor;dispatch_details","distribution log;dispatch record;invoice",Medium
CDSCO-008,CDSCO,data_integrity,"Electronic records must maintain an audit trail with user, action, timestamp, and record change history","user_id;action;timestamp;record_changes","audit trail log;system log",High
GMP-001,GMP,manufacturing,"Each batch must be manufactured according to an approved Batch Manufacturing Record","batch_id;manufacturing_date;process_steps","BMR;production record",High
GMP-002,GMP,quality,"Finished product quality must be verified before release through approved COA or QC documentation","test_parameters;test_results;approval_status","COA;finished product QC record",High
GMP-003,GMP,equipment,"Equipment used in production must be calibrated and maintained according to schedule","equipment_id;last_calibration_date;next_due_date;maintenance_status","calibration log;maintenance record",High
GMP-004,GMP,materials,"Raw materials must be procured from qualified vendors and verified against specifications","supplier_name;approval_status;specifications","vendor qualification file;material specification",High
GMP-005,GMP,deviation,"Deviation events must be documented with CAPA and tracked to closure","issue;root_cause;corrective_action;closure_status","deviation log;CAPA register",High
GMP-006,GMP,data_integrity,"GMP records must preserve data integrity and audit trail history for critical operations","user_id;action;timestamp;record_changes","audit trail log;system access log",High
NPPA-001,NPPA,pricing,"Scheduled formulations must comply with notified NPPA ceiling price","product_name;formulation_type;dosage_strength;pack_size;nppa_ceiling_price;mrp","price notification;product master;pricing record",High
NPPA-002,NPPA,pricing,"The marketed MRP must not exceed the applicable NPPA ceiling price after permitted adjustments","product_name;nppa_ceiling_price;mrp;wpi_adjustment;price_revision_date","pricing sheet;revision record;price circular",High
NPPA-003,NPPA,trade,"Price to retailer and downstream sale records must support pricing compliance review","product_name;price_to_retailer;sale_date;invoice_id;customer_type","invoice;sales register;trade scheme record",Medium
NPPA-004,NPPA,traceability,"Each priced product sale should be traceable by batch and manufacturer details","product_name;batch_id;manufacturer_name;sale_date;invoice_id","invoice;batch sale record",Medium
SLA-001,SLA,licensing,"State manufacturing license must be valid and available for inspection","license_number;license_issue_date;license_expiry_date","state license document",High
SLA-002,SLA,inspection,"Inspection events must be documented with inspection date, inspector name, and observations","inspection_date;inspector_name;inspection_observation","inspection report;inspection register",High
SLA-003,SLA,compliance,"Inspection or review outcomes must capture the current compliance status of the facility or product","compliance_status;inspection_date;inspection_observation","inspection report;compliance register",High
SLA-004,SLA,manufacturing,"Product and batch records must identify the manufactured product, batch, and manufacturing date","product_name;batch_id;manufacturing_date","batch record;product register",High
SLA-005,SLA,storage,"Storage conditions relevant to licensed products must be documented and reviewable","storage_temperature;product_name;batch_id","storage log;warehouse record",Medium
SLA-006,SLA,documentation,"Controlled documents must be versioned and traceable","document_id;document_version","document control register;SOP master list",Medium
SLA-007,SLA,data_integrity,"User-linked timestamped records must exist for regulated documentation and changes","user_id;timestamp;document_id;document_version","audit trail log;document history",High
